albumID,albumTitle,recordLabel,genre,releaseDate,albumFunFact
1,iTunes Session,Lights Music Inc.,Pop Rock,2014-02-28,
2,7 EP,Columbia Records,Pop Rap,2019-06-21,
3,Skin&Earth Acoustic,Elektra Records,Pop Rock,2019-07-12,
4,Z,Top Dawg Entertainment,R&B Soul,2014-04-08,
5,how I'm feeling now,An Asylum Records,Pop,2020-05-15,
6,"thank u, next",Republic Records,Dance Pop,2019-02-08,
7,Pink Friday,Cash Money Records,Hip-Hop Rap,2010-11-22,
8,ARTPOP,Interscope Records,Electronic Dance,2013-11-06,
9,Planet Her,Kemosabe Records,Pop Rap,2021-06-25,
10,Positions,Republic Records,Dance Pop,2020-10-30,
11,Ctrl,Top Dawg Entertainment,R&B Soul,2017-06-09,
12,PEP,Fueled By Ramen,Pop rock,2022-04-01,
