songID,songTitle,albumID,songLength,songWriter,topRank,rankDate,userComment
1,Where The Fence Is Low,1,244,Lights Poxleitner,,,
2,Banner,1,220,Lights Poxleitner,,,
3,Siberia,1,261,Lights Poxleitner,,,
4,Toes,1,211,Lights Poxleitner,49,2012-08-18,
5,Face Up,1,220,Lights Poxleitner,,,
6,Cactus In The Valley,1,206,Lights Poxleitner,,,
7,In The Dark I See,1,194,Lights Poxleitner,,,
8,Old Town Road - Remix,2,157,Montero Lamar Hill & Billy Ray Cyrus,1,2019-04-13,
9,Panini,2,114,Montero Lamar Hill,5,2019-09-28,
10,F9mily (You & Me),2,162,Montero Lamar Hill & Travis Barker,6,2019-07-06,
11,Kick It,2,141,Montero Lamar Hill,,,
12,Rodeo,2,158,Montero Lamar Hill & Belcalis Almanzar,22,2019-07-06,
13,Bring U Down,2,131,Montero Lamar Hill,,,
14,C7osure (You Like),2,148,Montero Lamar Hill,14,2019-07-13,
15,Old Town Road,2,113,Montero Lamar Hill,1,2019-04-13,
16,Skydiving (Cliff Recording),3,237,Lights Poxleitner,,,
17,Until the Light (Truck Cab Recording),3,214,Lights Poxleitner,,,
18,Savage (Rain Recording),3,244,Lights Poxleitner,,,
19,New Fears (Bedroom Recording),3,274,Lights Poxleitner,,,
20,We Were Here (Tunnel Recording),3,255,Lights Poxleitner,21,2018-04-28,
21,Kicks (River Recording) ,3,256,Lights Poxleitner,,,
22,Almost Had Me (Desert Recording),3,280,Lights Poxleitner,,,
23,Tabs,3,220,Lights Poxleitner,,,
24,Lost Girls,3,211,Lights Poxleitner,,,
25,Ur,4,235,Solana Rowe,,,
26,Childs Play,4,216,Solana Rowe & Chancelor Bennett,,,
27,Julia,4,219,Solana Rowe,,,
28,Warm Winds,4,350,Solana Rowe & Isaiah McClain,,,
29,HiiiJack,4,222,Solana Rowe,,,
30,Green Mile,4,214,Solana Rowe,,,
31,Babylon,4,234,Solana Rowe & Kendrick Lamar,,,
32,Sweet November,4,243,Solana Rowe,,,
33,Shattered Ring,4,245,Solana Rowe,,,
34,Omega,4,263,Solana Rowe,,,
35,pink diamond,5,124,Charlotte Aitchison,,,
36,forever,5,243,Charlotte Aitchison,,,
37,claws,5,149,Charlotte Aitchison,,,
38,7 years,5,195,Charlotte Aitchison,,,
39,detonate,5,219,Charlotte Aitchison,,,
40,enemy,5,222,Charlotte Aitchison,,,
41,I finally understand,5,151,Charlotte Aitchison,,,
42,c2.0,5,220,Charlotte Aitchison,,,
43,party 4 u,5,296,Charlotte Aitchison,,,
44,anthems,5,171,Charlotte Aitchison,,,
45,visions,5,229,Charlotte Aitchison,,,
